manufacturer,code,model_name,description,color,commercial_color,size,foot_color,quantity_available
IKEA,101,Friheten أريكة Bed,Convertible sofa bed with storage,رمادي,Light Gray,80x38x30,Black,25
Ashley,102,Signature تصميم Recliner,Comfortable كرسي استرخاء جلد,أسود,Jet Black,36x36x40,Brown,15
Wayfair,103,طاولة Coffee Stylish,طاولة قهوة أنيقة لغرفة المعيشة,بني,Dark Walnut,48x24x18,Clear Glass,40
Pottery Barn,104,Chesterfield أريكة,Classic design with luxurious fabric,بيج,Cream,86x38x30,Brown,10
West Elm,105,طاولة Dining عصرية,Beautiful dining table for gatherings,أبيض,Off-White,72x36x30,Black,20
CB2,106,Convertible قسم Sectional,Versatile sectional that converts into a sofa bed,رمادي غامق,Charcoal,92x65x30,White,12
Havertys,107,Wooden رف Bookshelf,Spacious bookcase for your collection,بني,Oak,30x12x72,Black,18
Pottery Barn,108,Outdoor مجموعة Dining,Perfect للترفيه في الهواء الطلق,أخضر,Forest Green,72x36x30,Gray,8
IKEA,109,Malm سرير Frame,Sleek and modern bed frame,أسود,Black,80x60,White,30
Ashley,110,Reclining أريكة,Comfortable reclining sofa for movie nights,بني,Chocolate,85x40x40,Gray,22
Wayfair,111,Accent كرسي,Stylish accent chair to complement your decor,أصفر,Sunshine Yellow,30x30x36,Black,14
La-Z-Boy,112,كرسي Rocker Recliner,Relaxing rocker recliner with smooth reclining,كحلي,Navy,34x36x40,Brown,11
West Elm,113,Storage أوكتومان,Multi-functional ottoman with hidden storage,رمادي فاتح,Light Gray,36x36x18,Black,15
CB2,114,Round طاولة Coffee,Sleek round coffee table for modern spaces,أبيض,White,36x36x18,Gold,20
IKEA,115,Expedit وحدة Shelf,Versatile shelf unit for any room,بني فاتح,Light Brown,47x15x57,Black,27